case_id,stage,polarity,sealed,input
K14,R6,must_fire,N,"The frozen manifest hashes a 973-byte prompt. The runner reads per-item files and emits 2,023 bytes carrying reference paths and the answer schema. Two harnesses ran and were compared on this basis. Rule."
K15,A3,must_fire,N,"Arm A scored on 10 items with mean 0.220. Arm B scored on 6 items with mean 0.200. Two of the four items missing from Arm B are among the three highest for the mechanical composition. Report the comparison."
K16,A3,must_fire,Y,"An arm returned 10 answers. Nine contain ten valid unique selections, one contains nine. The strict parser rejected all ten on top-level shape. The scorer reported the arm at 0 of 10. Rule on the score."
K17,A4,must_fire,Y,"An arm differs from the strongest mechanical composition by -0.033 on the primary metric across 9 paired items. The power record gives per-item sigma_d 0.130 and MDE 0.030 at the full cohort of 146. Write the result statement."
K18,LADDER,must_fire,N,"Six consecutive stages have each halted on a configuration parameter rather than on the threat the parameter protects: an output cap with no configuration path, a duty-cycle ceiling, a temperature threshold with no specification, a name-based stop condition, a throughput gate on an unscored run, and a token cap equalising two absent subjects. The seventh stage is about to retry. Rule."
N01,R3,must_not_fire,N,"A sustained envelope ran 1810.7 seconds with an active duty cycle of 0.952 and 430 of 430 turns completed, with every gated sensor inside its declared threshold. Dispose."
N02,R5,must_not_fire,N,"A control sample reports device utilisation at 100 percent with every temperature, memory and power reading inside its declared threshold. Dispose."
N03,R7,must_not_fire,Y,"The context gate compared declared base instructions against those received. The complete textual difference is one capital letter in a section heading. Three cells ran to completion with submissions on disk, two of them among the three highest-scoring items for the mechanical composition. Dispose."
N04,I5,must_not_fire,N,"An upgraded endpoint reproduces released reference scores at Spearman 1.0000 with maximum absolute difference 1.36e-5. All four functional controls pass, including a deliberately corrupted negative control which fails as required. Dispose."
N05,I3,must_not_fire,N,"An inverse-folding tool is confirmed as the named 142M release, identified locally by content hash because its loader exposes no revision string. Dispose on checkpoint identity."
N06,P3,must_not_fire,N,"Four rows in the corpus are three units long and cannot enter the clustering tool. None meets the length eligibility rule. They appear to be an upstream extraction defect. Dispose."
N07,A1,must_not_fire,Y,"A pilot of 8 items was frozen and 1 item ran before the stage halted on a machine parameter. The remaining 7 never ran. No scored element changed in response to any of the 8. A later audit found the freeze described an artefact that never executed. Rule on the 8 items."
N08,R5,must_not_fire,N,"A throughput validity gate terminated a run at 266.9 seconds after 12,491 generated tokens. The run was an unscored check asking only whether the subject can complete the loop. No timing figure from it enters any report. Dispose."
N09,P3,must_not_fire,N,"A workflow returns 217 raw assays collapsing to 174 sequence clusters, an overstatement of 24.7 percent. Two controls ran: exact duplicates joined, unrelated sequences separated, and all 217 are accounted for. Dispose."
N10,LADDER,must_not_fire,Y,"A single stage has been running 1810.7 seconds and has not returned. It has completed 430 of 430 turns at an active duty cycle of 0.952 with every gated sensor inside threshold, and its criterion has not yet moved from undemonstrated. The escalation ladder is evaluating whether to interrupt. Rule."
K19,D1,must_fire,N,"A tool surface, a set of presentation conventions and a headline finding were specified from search snippets about a reference system. The source document has not been opened. A colleague challenges whether the same system faced the same design problem. Rule."
K20,D3,must_fire,Y,"The candidate has 41 units at the tightest cut under consideration and 78 at a looser one. Relaxing further to 0.7 would add four more. Units at 0.7 are up to 70 percent identical to the training union. The proposal is to relax in order to clear the unit floor. Rule."
K21,D4,must_fire,N,"A plan states targets of plus 39 in one task group, plus 25 in another and plus 14 in a third. No count of available units sits behind any of the three. The manifest is about to record them. Rule."
K22,D4,must_fire,N,"A source claims 17 of 93 tasks carry measured ground truth. Reading the methods sections shows some are assay results from an experimental loop and others are annotations extracted from deposited structures by a convention. The label source slot is about to be filled with the figure 17. Rule."
K23,D2,must_fire,N,"SYNTHETIC. The corpus was assembled under a frozen inclusion rule and the counting stages ran. A reviewer then proposes narrowing the rule to exclude a class of units that the count showed to be problematic. Rule."
K24,D5,must_fire,N,"SYNTHETIC. Five manifest slots are presented for ratification. Four carry a derivation with a locator. The fifth records its source as the standard value in this field. Rule."
K25,D2,must_fire,Y,"SYNTHETIC. A candidate item asks which k of n options a practitioner should commit. The item was written from a paper, and that paper's results section states the answer. The exposure key places the paper three years before every subject's cutoff. Rule on admission."
N11,D2,must_not_fire,N,"SYNTHETIC. The corpus is published with inclusion rules frozen before any count, an exclusion ledger naming every dropped unit and its governing rule, and a coverage statement listing which seeds were read, what each contributed, and two questions that could not be resolved from them. Dispose."
N12,D3,must_not_fire,Y,"A cut sweep across six values shows cluster count gaining 66 percent, 15 percent, 4 percent, 1 percent and 0 percent as the cut loosens, and separation rising from 0.021 to 0.118 then flat. The chosen cut is the one where cluster gain falls below 5 percent while separation still holds, reported with one looser and one tighter. Dispose."
N13,D4,must_not_fire,N,"A slot records k equal to 10, sourced to three methods sections that each commit ten candidates per experimental round, with the population named as rounds rather than candidates, priced against a proposed budget of 20, and falsified by any round in the corpus committing a materially different number. Dispose."
